Outcome,Category,Specification,N,Estimate,SE,CI_low,CI_high,p,Signif
Candidate turnover (%),Installation power,Large >= 8 MW,323,2.39,1.53,-0.62,5.39,0.12,FALSE
Candidate turnover (%),Installation power,Small < 8 MW,298,-0.57,1.59,-3.68,2.54,0.72,FALSE
Candidate turnover (%),Cohorts,C 2020-2026,326,0.17,1.34,-2.46,2.8,0.898,FALSE
Candidate turnover (%),Competitiveness,Competitive,158,-0.32,2.25,-4.73,4.09,0.886,FALSE
Candidate turnover (%),Competitiveness,Non-competitive,463,1.53,1.28,-0.98,4.04,0.233,FALSE
Candidate turnover (%),Income,High,279,-1.85,1.61,-5,1.3,0.25,FALSE
Candidate turnover (%),Income,Low,274,2.79,1.67,-0.47,6.06,0.094,FALSE
Incumbent vote share (% valid votes),Reference,Reference (Full Cohort B),429,1.5,1.35,-1.14,4.14,0.266,FALSE
Incumbent vote share (% valid votes),Milestones,Application filed,401,-0.18,1.02,-2.18,1.83,0.864,FALSE
Incumbent vote share (% valid votes),Milestones,Authorization granted,422,0.24,1.23,-2.16,2.64,0.846,FALSE
Incumbent vote share (% valid votes),Milestones,Commissioning,429,1.5,1.35,-1.14,4.14,0.266,FALSE
Incumbent vote share (% valid votes),Regions,Brittany,12,2.61,12.5,-21.89,27.11,0.835,FALSE
Incumbent vote share (% valid votes),Regions,Grand Est,76,-1.58,2.08,-5.66,2.5,0.448,FALSE
Incumbent vote share (% valid votes),Regions,Hauts-de-France,156,3.11,2.19,-1.18,7.41,0.156,FALSE
Incumbent vote share (% valid votes),Regions,Normandy,23,-2.47,6.41,-15.04,10.1,0.701,FALSE
Incumbent vote share (% valid votes),Regions,Other regions,162,1.51,2.34,-3.08,6.1,0.52,FALSE
Incumbent vote share (% valid votes),Electoral system,List ballot,51,2.03,4.58,-6.95,11.01,0.658,FALSE
Incumbent vote share (% valid votes),Electoral system,Plurality/individual,378,1.53,1.41,-1.23,4.28,0.277,FALSE
Incumbent vote share (% valid votes),Mayor stability,Mayor turnover 2014,178,3.26,4.33,-5.21,11.74,0.451,FALSE
Incumbent vote share (% valid votes),Mayor stability,Mayor turnover 2020,27,3.29,4.04,-4.62,11.21,0.415,FALSE
Incumbent vote share (% valid votes),Mayor stability,Same mayor 2014-2020,219,0.58,1.08,-1.54,2.7,0.593,FALSE
Incumbent vote share (% valid votes),Municipality size,"< 1,000 registered voters",395,1.84,1.39,-0.87,4.56,0.184,FALSE
Incumbent vote share (% valid votes),Municipality size,">= 1,000 registered voters",34,-1.78,5.45,-12.46,8.91,0.745,FALSE
Incumbent vote share (% valid votes),Installation power,Large >= 8 MW,219,3.02,1.94,-0.79,6.83,0.12,FALSE
Incumbent vote share (% valid votes),Installation power,Small < 8 MW,210,-0.11,1.77,-3.58,3.37,0.951,FALSE
Incumbent vote share (% valid votes),Cohorts,A 2008-2014,355,0.18,1.27,-2.3,2.67,0.885,FALSE
Incumbent vote share (% valid votes),Cohorts,C 2020-2026,156,0.48,2.05,-3.53,4.5,0.813,FALSE
Incumbent vote share (% valid votes),Competitiveness,Competitive,106,0.71,3.3,-5.76,7.17,0.831,FALSE
Incumbent vote share (% valid votes),Competitiveness,Non-competitive,323,0.9,1.37,-1.79,3.59,0.513,FALSE
Incumbent vote share (% valid votes),Income,High,183,1.33,2.16,-2.9,5.56,0.538,FALSE
Incumbent vote share (% valid votes),Income,Low,197,1.51,1.99,-2.38,5.4,0.447,FALSE
