spec,is_ref,outcome,n_trt,estimate,se,ci_low,ci_high,p,signif,col
[Stability] Mayor turnover 2014 (n=112),FALSE,"Winner vote share
(% valid votes)",112,-0.7533887851814115,1.6448414218456813,-3.977277971998947,2.470500401636124,0.6469817623912113,FALSE,p >= 0.05
[Stability] Mayor turnover 2014 (n=112),FALSE,"Abstention
(% registered)",112,0.7267523324733935,0.7431250173150545,-0.7297727014641133,2.1832773664109,0.32821320208175675,FALSE,p >= 0.05
[Stability] Mayor turnover 2014 (n=112),FALSE,"Incumbent vote share
(% valid votes)",26,-0.014952277310944284,5.090211149056232,-9.99176612946116,9.96186157483927,0.9976578136202761,FALSE,p >= 0.05
"[Municipality size] < 1,000 registered voters (n=427)",FALSE,"Candidacy
(pp)",395,2.8381364731363674,3.447164841781833,-3.9183066167560248,9.59457956302876,0.41035298008236676,FALSE,p >= 0.05
"[Municipality size] < 1,000 registered voters (n=427)",FALSE,"Reelection
(pp)",418,2.5867009397798286,3.528576040311226,-4.3293080992301745,9.50270997878983,0.46353932660366437,FALSE,p >= 0.05
"[Municipality size] < 1,000 registered voters (n=427)",FALSE,"Winner vote share
(% valid votes)",427,0.4408222384094286,0.731231099998499,-0.9923907175876295,1.8740351944064866,0.5466269267229562,FALSE,p >= 0.05
"[Municipality size] < 1,000 registered voters (n=427)",FALSE,"Abstention
(% registered)",427,1.0020341396782135,0.3589414532915988,0.2985088912266799,1.705559388129747,0.0052573547113734815,TRUE,p < 0.05
"[Municipality size] < 1,000 registered voters (n=427)",FALSE,"Candidate turnover
(%)",403,0,NA,NA,NA,NA,NA,NA
"[Municipality size] < 1,000 registered voters (n=427)",FALSE,"Incumbent vote share
(% valid votes)",317,0.8835913792813219,1.1795568288088614,-1.4283400051840465,3.1955227637466903,0.4538614345462657,FALSE,p >= 0.05
"[Municipality size] >= 1,000 registered voters (n=62)",FALSE,"Candidacy
(pp)",52,-9.941559046648457,11.128556142279553,-31.75352908551638,11.870410992219465,0.3719587549401533,FALSE,p >= 0.05
