id_poste_livraison,id_parc,nom_usuel,code_insee,nom_commune,code_dept,code_reg,x_poste_livraison,y_poste_livraison,epsg,etat_parc,statut_parc,date_maj
0003012123_PL5,0003012123,EOLE HSR,08418,SEVIGNY WALEPPE,08,44,785019,6.946233e+06,2154,En attente de construction,Autorisé,2025-03-24 00:00:00
0003301808_PL1,0003301808,CE SAINTE APPOLLINE,70546,VEREUX,70,27,897971,6.717763e+06,2154,,En instruction,2022-10-19 00:00:00
0003300044_PL1,0003300044,PROJET EOLIEN A DARCEY ET CORPOYER-LA-CHAPELLE - SEPE IRIS,21226,DARCEY,21,27,819967,6.719359e+06,2154,En construction,Autorisé,2025-10-02 00:00:00
0006306627_PL1,0006306627,PARC EOLIEN DU HAM,53112,LE HAM,53,52,452375.75,6.8137375e+06,2154,,En instruction,2022-09-02 00:00:00
0005107414_PL1,0005107414,CENTRALE EOLIENNE LA PLAINE D'HOCQUELUS (CEHOC),80008,AIGNEVILLE,80,32,597144.75,6.9967875e+06,2154,En exploitation,Autorisé,2022-12-20 00:00:00
0100305936_PL2,0100305936,SEPE HS72 DROSERA,70255,FRESNE-SAINT-MAMES,70,27,919153.56,6.7222045e+06,2154,,En instruction,2026-03-12 10:13:38.36084
0006112665_PL1,0006112665,Parc eolien Montagne Ardechoise Sud 1,07232,ST ETIENNE DE LUGDARES,07,84,771442,6.3916985e+06,2154,En exploitation,Autorisé,2024-04-08 00:00:00
0100003692_PL2,0100003692,PE DES ESSARDS,36113,MARTIZAY,36,24,549697,6.639726e+06,2154,En attente de construction,Autorisé,2026-01-19 07:44:35.978
0006112660_PL1,0006112660,Parc éolien de Sources de la Loire 2,07224,ST CIRGUES EN MONTAGNE,07,84,785751.4,6.409302e+06,2154,En exploitation,Autorisé,2025-04-08 00:00:00
0005704162_PL1,0005704162,PARC EOLIEN MONT DES 4 FAUX-EDF-EN,08066,BIGNICOURT,08,44,801841.44,6.917599e+06,2154,En attente de construction,Autorisé,2025-10-02 00:00:00
0005107383_PL2,0005107383,Parc éolien de Caulières Eplessier Lamaronde (Bois Nanette et Bois Duvivier),80460,LAMARONDE,80,32,620656,6.965968e+06,2154,En exploitation,Autorisé,2022-12-27 00:00:00
0100000778_PL4,0100000778,LES PETITS BOIS,70297,LARRET,70,27,901059,6.7255e+06,2154,En attente de construction,Autorisé,2024-05-21 00:00:00
0003700913_PL1,0003700913,GARONNE ET CANAL ENERGIES,82062,FINHAN,82,76,558083,6.315848e+06,2154,,En instruction,2022-10-31 00:00:00
0100037272_PL2,0100037272,EOLE DU PORCIEN - CRETE DU PORCIEN,08113,CHAUMONT PORCIEN,08,44,788081.6,6.951414e+06,2154,,En instruction,2025-02-12 00:00:00
0005602614_PL1,0005602614,Parc Eolien du Bois des Barthes,43144,MOUDEYRES,43,84,784367,6.427733e+06,2154,En exploitation,Autorisé,2022-12-21 00:00:00
0006306676_PL1,0006306676,LE LANGON,85121,LE LANGON,85,52,398957,6.6035285e+06,2154,En exploitation,Autorisé,2025-03-18 00:00:00
0006209395_PL1,0006209395,Parc éolien de Momerstroff 1,57471,MOMERSTROFF,57,44,956785.25,6.8997535e+06,2154,En exploitation,Autorisé,2023-04-06 00:00:00
