Outcome,Category,Specification,N,Estimate,SE,CI_low,CI_high,p,Signif
Incumbent vote share (% valid votes),Mayor stability,Mayor turnover 2014,178,4.31,4.12,-3.77,12.38,0.296,FALSE
Incumbent vote share (% valid votes),Mayor stability,Mayor turnover 2020,27,3.06,3.89,-4.55,10.68,0.431,FALSE
Incumbent vote share (% valid votes),Mayor stability,Same mayor 2014-2020,219,0.79,1.06,-1.28,2.86,0.457,FALSE
Incumbent vote share (% valid votes),Municipality size,"< 1,000 registered voters",395,1.95,1.35,-0.69,4.6,0.148,FALSE
Incumbent vote share (% valid votes),Municipality size,">= 1,000 registered voters",34,-3.29,5.34,-13.76,7.18,0.538,FALSE
Incumbent vote share (% valid votes),Installation power,Large >= 8 MW,219,3.1,1.92,-0.66,6.86,0.107,FALSE
Incumbent vote share (% valid votes),Installation power,Small < 8 MW,210,0.02,1.75,-3.41,3.45,0.99,FALSE
Incumbent vote share (% valid votes),Cohorts,A 2008-2014,355,0.67,1.23,-1.74,3.08,0.587,FALSE
Incumbent vote share (% valid votes),Cohorts,C 2020-2026,156,1.04,2.02,-2.92,5,0.608,FALSE
Incumbent vote share (% valid votes),Competitiveness,Competitive,106,-0.75,3.19,-7.01,5.51,0.815,FALSE
Incumbent vote share (% valid votes),Competitiveness,Non-competitive,323,1.34,1.34,-1.29,3.96,0.318,FALSE
Incumbent vote share (% valid votes),Income,High,183,1.03,2.12,-3.13,5.19,0.629,FALSE
Incumbent vote share (% valid votes),Income,Low,197,2.16,1.95,-1.65,5.97,0.267,FALSE
