Outcome,Category,Specification,N,Estimate,SE,CI_low,CI_high,p,Signif
Candidate turnover (%),Municipality size,"< 1,000 registered voters",308,-0.59,1.41,-3.35,2.17,0.674,FALSE
Candidate turnover (%),Municipality size,">= 1,000 registered voters",42,1.78,2.39,-2.9,6.46,0.457,FALSE
Candidate turnover (%),Installation power,Large >= 9 MW,175,-0.21,1.8,-3.75,3.32,0.906,FALSE
Candidate turnover (%),Installation power,Small < 9 MW,175,-0.46,1.8,-3.98,3.06,0.796,FALSE
Candidate turnover (%),Cohorts,A 2008-2014,403,0,NA,NA,NA,NA,NA
Candidate turnover (%),Cohorts,B 2014-2020,628,0.69,1.12,-1.5,2.88,0.538,FALSE
Candidate turnover (%),Competitiveness,Competitive,66,0.78,2.76,-4.64,6.2,0.777,FALSE
Candidate turnover (%),Competitiveness,Non-competitive,284,-0.58,1.44,-3.4,2.23,0.685,FALSE
Candidate turnover (%),Income,High,164,0.74,2.02,-3.21,4.69,0.715,FALSE
Candidate turnover (%),Income,Low,163,-0.94,1.72,-4.32,2.43,0.584,FALSE
Incumbent vote share (% valid votes),Reference,Reference (Full Cohort C),166,-0.2,1.88,-3.88,3.49,0.917,FALSE
Incumbent vote share (% valid votes),Milestones,Application filed,149,0.01,1.21,-2.36,2.39,0.99,FALSE
Incumbent vote share (% valid votes),Milestones,Authorization granted,118,-0.61,1.49,-3.52,2.3,0.682,FALSE
Incumbent vote share (% valid votes),Milestones,Commissioning,166,-0.2,1.88,-3.88,3.49,0.917,FALSE
Incumbent vote share (% valid votes),Regions,Brittany,10,18.01,11.22,-3.98,39.99,0.111,FALSE
Incumbent vote share (% valid votes),Regions,Grand Est,16,-0.52,3.77,-7.9,6.86,0.891,FALSE
Incumbent vote share (% valid votes),Regions,Hauts-de-France,56,-0.79,3.13,-6.91,5.34,0.801,FALSE
Incumbent vote share (% valid votes),Regions,Normandy,15,-2.94,5.53,-13.77,7.89,0.596,FALSE
Incumbent vote share (% valid votes),Regions,Other regions,69,-0.96,2.73,-6.31,4.4,0.726,FALSE
Incumbent vote share (% valid votes),Electoral system,List ballot,29,-7.26,5.24,-17.52,3.01,0.167,FALSE
Incumbent vote share (% valid votes),Electoral system,Plurality/individual,137,0.81,1.98,-3.07,4.7,0.681,FALSE
Incumbent vote share (% valid votes),Mayor stability,Mayor turnover 2020,71,-1.05,6.64,-14.07,11.96,0.874,FALSE
Incumbent vote share (% valid votes),Mayor stability,Same mayor 2020-2026,95,-0.63,1.49,-3.54,2.28,0.672,FALSE
Incumbent vote share (% valid votes),Municipality size,"< 1,000 registered voters",147,-0.05,1.96,-3.89,3.79,0.979,FALSE
Incumbent vote share (% valid votes),Municipality size,">= 1,000 registered voters",19,-2.19,6.85,-15.62,11.24,0.75,FALSE
Incumbent vote share (% valid votes),Installation power,Large >= 9 MW,76,-0.9,2.72,-6.23,4.43,0.74,FALSE
Incumbent vote share (% valid votes),Installation power,Small < 9 MW,90,0.41,2.55,-4.6,5.41,0.874,FALSE
Incumbent vote share (% valid votes),Cohorts,A 2008-2014,351,0.12,1.28,-2.38,2.62,0.926,FALSE
Incumbent vote share (% valid votes),Cohorts,B 2014-2020,434,1.49,1.34,-1.13,4.11,0.264,FALSE
Incumbent vote share (% valid votes),Competitiveness,Competitive,31,10.41,6.18,-1.71,22.52,0.093,FALSE
Incumbent vote share (% valid votes),Competitiveness,Non-competitive,135,-1.51,1.67,-4.78,1.76,0.365,FALSE
Incumbent vote share (% valid votes),Income,High,77,2.08,2.95,-3.71,7.87,0.481,FALSE
Incumbent vote share (% valid votes),Income,Low,75,-3.25,2.56,-8.28,1.77,0.205,FALSE
