code_insee,invest_sd
02128,10981684.35
02129,410589.75
02130,1805913.6199999999
02131,11939840.94
02132,455188.54
02133,1511500.35
02134,7514727.180000001
02135,5911377.22
02136,898653.29
02137,514604.33999999997
02138,1127005.75
02139,1958488.97
02140,2472004.2
02141,18555969.080000002
02142,1562969.86
02143,2406408.68
02144,973567.75
02145,3124626.43
02146,951465.4
02147,598642.24
02148,776733.64
02149,337673.42
02150,371671.39999999997
02151,880434.92
02152,471637.44
02153,2060885.36
02154,1925427.92
02155,842704.74
02156,941242.9
02157,8194032.91
02158,2596412.52
02159,1196370.53
02160,3168260.57
02161,2327148.57
02162,656614.69
02163,23217205.5
02164,1277658.42
02165,10089932.26
02166,823658.9500000001
02167,3597577.48
02168,125524275.22999999
02169,354361.75
02170,444528.18
02171,728972.91
02172,1389851.99
02173,136589062.16
02174,4378868.69
02175,804173.74
02176,521575.79000000004
02177,497798.03
02178,614017.51
02179,1214062.9
02180,3980612.92
02181,327208.41000000003
02182,561559.9199999999
02183,653486.54
02184,2047693.0499999998
02185,1845995.48
02186,13723773.06
02187,6269316.86
02188,1145379.7
02189,1625262.54
02190,4141992.37
02191,4343116.1
02192,1189976.81
02193,947465.79
02194,1282127.02
02195,4284720.319999999
02196,2761642.58
02197,3718941.85
02198,2068496.0599999998
02199,2435838.58
02200,1258028.41
02201,2010970.61
02203,3849219.19
02204,1018918.03
02205,916848.03
02206,258017.6
02207,716811.45
02208,1864143.0799999998
02209,3910840.8200000003
02210,1198984.82
02211,3807358.36
02212,6048037.65
02213,921464.52
02214,458394.74
02215,6791436.140000001
02216,1147382.42
02217,8059224.17
02218,3101899.3600000003
02219,653065.79
02220,2001537.44
02221,948933.4299999999
02222,1564835.02
02223,1141579.0000000002
02224,1901239.97
02225,463946.14999999997
02226,6263963.4
02227,729928.5700000001
02228,1055293.29
02229,199543.24
02230,1175925.3
02231,9168825.52
02232,2230335.76
02233,815095.9299999999
02234,805007.4299999999
02235,450677.67
02236,1229472.35
02237,12342868.13
02238,10594680.4
02239,7165519.6899999995
02240,929082.98
02241,424582.3
02242,2137129.5500000003
02243,12975929.6
02244,387752.89999999997
02245,9478943.15
02246,2412419.2199999997
02248,676727.79
02249,535317.24
02250,765645.36
02251,295963.60000000003
02252,240399.28
02253,1442583.1099999999
02254,481196.11
02255,548625.94
02256,971908.89
02257,1569311.1900000002
02258,2333719.13
02259,3067295.62
02260,1600175.19
02261,1719699.83
02262,764000.07
02263,467509.79
02264,2149237.56
02265,821570.37
02266,615732.23
02267,997250.88
02268,2607754.7600000002
02269,1474263.5
02270,754432.12
02271,686348.42
02272,1364767.49
02273,1542292.5
02274,1032748.0700000001
02275,1728036.09
02276,1077675.95
02277,1753373.83
02278,1010555.51
02279,2563160.95
02280,1388674.71
02281,1794221.44
02282,1326180.99
02283,1432914.0
02284,831874.86
02286,3194554.5999999996
02287,2225952.92
02288,1440284.5999999999
02289,671706.0
02290,12125748.78
02291,2759918.43
02292,8171025.399999999
02293,1889822.85
02294,2764860.13
02295,3372810.51
02296,7094345.32
02297,1229366.3
02298,12296317.67
02299,1260234.65
02301,1176486.51
02302,2537941.88
02303,5444069.89
02304,27862251.02
02305,12527161.91
02306,1563488.58
02307,14932668.4
02308,1922902.87
02309,4134974.77
02310,1356200.4
02311,493620.4
02312,3830918.32
02313,3230400.38
02315,6552551.03
02316,1341707.28
02317,959228.7799999999
02318,4640462.58
02319,2256600.79
02320,982693.4299999999
02321,7991848.58
02322,2593825.85
02323,656471.63
02324,689386.3200000001
02325,660016.21
02326,2033845.01
02327,879645.16
02328,3335948.03
02329,2550785.76
02330,1825629.48
02331,418206.02999999997
02332,1609354.95
02333,933230.33
02334,18010350.669999998
02335,779519.1699999999
02336,4293787.02
02337,522861.37
02338,740482.36
02339,2978441.93
02340,57133559.49
02341,1853527.74
02342,862540.19
02343,463035.84
02345,266829.38
02346,2380055.06
02347,1333338.91
02348,961774.31
02349,606913.1
02350,813196.86
02351,856684.87
02352,3018712.5300000003
02353,1451568.53
02354,512181.47000000003
02355,5394867.3
02356,1142949.19
02357,689348.22
02358,1804659.54
02359,4265609.720000001
02360,16701928.76
02361,33423438.93
02362,2461233.88
02363,2543052.84
02364,1714616.21
02366,987967.8500000001
02367,1311979.65
02368,2350339.1
02369,1581865.64
02370,3016836.04
02371,12488417.51
02372,1721788.83
02373,1810369.8399999999
02374,4442015.17
02375,610953.13
02376,1079390.3599999999
02377,665963.91
02378,735338.11
02379,872000.8200000001
02380,325874.77999999997
02381,94151014.75
02382,18786550.950000003
02383,5843439.4799999995
02384,279434.81
02385,1149834.23
02386,1276476.54
