code_insee,annee,type_scrutin,n_unites,mono_liste,closeness,method
51430,2014,individuel,7,1,,seat_cutoff_model
51430,2020,individuel,8,0,36.8421,seat_cutoff_rne_real
51431,2008,individuel,15,0,6.2157,winner_share_proxy_2008
51432,2008,individuel,15,0,9.2072,winner_share_proxy_2008
51432,2014,individuel,15,1,,seat_cutoff_model
51432,2020,individuel,18,0,0.0,seat_cutoff_rne_real
51433,2008,individuel,11,0,34.2593,winner_share_proxy_2008
51433,2014,individuel,11,1,,seat_cutoff_model
51433,2020,individuel,21,0,33.945,seat_cutoff_rne_real
51434,2008,individuel,15,0,7.5067,winner_share_proxy_2008
51434,2014,individuel,15,1,,seat_cutoff_model
51434,2020,individuel,15,1,,seat_cutoff_rne_real
51435,2008,individuel,3,0,41.8803,winner_share_proxy_2008
51435,2014,individuel,14,0,0.8929,seat_cutoff_model
51435,2020,individuel,11,1,,seat_cutoff_rne_real
51436,2008,individuel,15,0,6.6362,winner_share_proxy_2008
51436,2014,individuel,15,1,,seat_cutoff_model
51436,2020,individuel,16,0,6.2696,seat_cutoff_rne_real
51437,2008,individuel,9,0,7.6923,winner_share_proxy_2008
51437,2014,individuel,7,1,,seat_cutoff_model
51437,2020,individuel,8,0,6.6667,seat_cutoff_rne_real
51438,2008,individuel,9,0,4.2857,winner_share_proxy_2008
51438,2014,individuel,7,1,,seat_cutoff_model
51438,2020,individuel,7,1,,seat_cutoff_rne_real
51439,2008,individuel,11,0,17.5214,winner_share_proxy_2008
51439,2014,individuel,3,1,,seat_cutoff_model
51439,2020,individuel,11,1,,seat_cutoff_rne_real
51440,2008,individuel,15,0,11.2853,winner_share_proxy_2008
51441,2008,individuel,11,0,9.3333,winner_share_proxy_2008
51441,2014,individuel,7,1,,seat_cutoff_model
51441,2020,individuel,11,1,,seat_cutoff_rne_real
51442,2008,individuel,2,0,45.7447,winner_share_proxy_2008
51442,2014,individuel,6,1,,seat_cutoff_model
51442,2020,individuel,13,0,1.6129,seat_cutoff_rne_real
51443,2008,individuel,9,0,7.3529,winner_share_proxy_2008
51443,2014,individuel,3,1,,seat_cutoff_model
51443,2020,individuel,13,0,31.746,seat_cutoff_rne_real
51444,2008,individuel,9,0,39.3939,winner_share_proxy_2008
51444,2014,individuel,11,1,,seat_cutoff_model
51444,2020,individuel,13,0,0.9524,seat_cutoff_rne_real
51445,2008,individuel,11,0,6.6667,winner_share_proxy_2008
51445,2014,individuel,9,1,,seat_cutoff_model
51445,2020,individuel,14,0,23.4043,seat_cutoff_rne_real
51446,2008,individuel,11,0,24.7967,winner_share_proxy_2008
51446,2014,individuel,10,1,,seat_cutoff_model
51446,2020,individuel,13,0,0.0,seat_cutoff_rne_real
51447,2008,individuel,1,1,,winner_share_proxy_2008
51447,2014,individuel,8,1,,seat_cutoff_model
51447,2020,individuel,12,0,0.0,seat_cutoff_rne_real
51448,2008,individuel,1,1,,winner_share_proxy_2008
51448,2014,individuel,13,1,,seat_cutoff_model
51448,2020,individuel,20,0,0.4525,seat_cutoff_rne_real
51449,2008,individuel,2,0,55.9278,winner_share_proxy_2008
51450,2008,individuel,1,1,,winner_share_proxy_2008
51450,2014,individuel,14,0,8.1731,seat_cutoff_model
51450,2020,individuel,14,0,3.9409,seat_cutoff_rne_real
51451,2008,individuel,1,1,,winner_share_proxy_2008
51451,2014,individuel,10,0,22.4138,seat_cutoff_model
51451,2020,individuel,11,1,,seat_cutoff_rne_real
51452,2008,individuel,3,0,11.1111,winner_share_proxy_2008
51452,2014,individuel,7,1,,seat_cutoff_model
51452,2020,individuel,7,1,,seat_cutoff_rne_real
51453,2008,individuel,15,0,4.5929,winner_share_proxy_2008
51455,2008,individuel,11,0,18.2609,winner_share_proxy_2008
51455,2014,individuel,13,0,15.6716,seat_cutoff_model
51455,2020,individuel,11,1,,seat_cutoff_rne_real
51456,2008,individuel,9,0,0.0,winner_share_proxy_2008
51456,2014,individuel,7,1,,seat_cutoff_model
51456,2020,individuel,7,1,,seat_cutoff_rne_real
51457,2008,individuel,11,0,12.8492,winner_share_proxy_2008
51457,2014,individuel,12,1,,seat_cutoff_model
51457,2020,individuel,11,0,0.0,seat_cutoff_rne_real
51458,2008,individuel,2,0,35.8974,winner_share_proxy_2008
51458,2014,individuel,8,0,8.5106,seat_cutoff_model
51458,2020,individuel,7,1,,seat_cutoff_rne_real
51459,2008,individuel,11,0,8.5714,winner_share_proxy_2008
51459,2014,individuel,11,1,,seat_cutoff_model
51459,2020,individuel,11,1,,seat_cutoff_rne_real
51460,2008,individuel,11,0,27.3585,winner_share_proxy_2008
51460,2014,individuel,22,0,30.4348,seat_cutoff_model
51460,2020,individuel,11,0,0.0,seat_cutoff_rne_real
51461,2008,individuel,15,0,16.8761,winner_share_proxy_2008
51461,2020,individuel,15,1,,seat_cutoff_rne_real
51463,2008,individuel,11,0,6.6667,winner_share_proxy_2008
51463,2014,individuel,11,1,,seat_cutoff_model
51463,2020,individuel,13,0,25.3968,seat_cutoff_rne_real
51464,2008,individuel,11,0,24.5399,winner_share_proxy_2008
51464,2014,individuel,13,0,1.6949,seat_cutoff_model
51464,2020,individuel,21,0,23.494,seat_cutoff_rne_real
51465,2008,individuel,1,1,,winner_share_proxy_2008
51465,2014,individuel,5,1,,seat_cutoff_model
51465,2020,individuel,14,0,15.7303,seat_cutoff_rne_real
51466,2008,individuel,11,0,13.7931,winner_share_proxy_2008
51466,2014,individuel,13,0,23.7705,seat_cutoff_model
51466,2020,individuel,12,0,22.449,seat_cutoff_rne_real
51468,2008,individuel,1,1,,winner_share_proxy_2008
51468,2014,individuel,12,0,16.7513,seat_cutoff_model
51468,2020,individuel,15,0,1.4085,seat_cutoff_rne_real
51469,2008,individuel,3,0,31.25,winner_share_proxy_2008
51469,2014,individuel,9,1,,seat_cutoff_model
51469,2020,individuel,11,1,,seat_cutoff_rne_real
51470,2008,individuel,9,0,0.0,winner_share_proxy_2008
51470,2014,individuel,7,1,,seat_cutoff_model
51470,2020,individuel,7,1,,seat_cutoff_rne_real
51471,2008,individuel,11,0,11.6466,winner_share_proxy_2008
51471,2014,individuel,13,0,5.5118,seat_cutoff_model
51471,2020,individuel,11,1,,seat_cutoff_rne_real
51472,2008,individuel,1,1,,winner_share_proxy_2008
51473,2008,individuel,2,0,44.2623,winner_share_proxy_2008
51473,2014,individuel,6,1,,seat_cutoff_model
51473,2020,individuel,13,0,4.4776,seat_cutoff_rne_real
51475,2008,individuel,3,0,32.4324,winner_share_proxy_2008
51475,2014,individuel,9,0,5.7692,seat_cutoff_model
51475,2020,individuel,5,1,,seat_cutoff_rne_real
51476,2008,individuel,11,0,7.7922,winner_share_proxy_2008
51476,2014,individuel,18,0,4.058,seat_cutoff_model
51476,2020,individuel,15,1,,seat_cutoff_rne_real
51477,2008,individuel,11,0,10.7692,winner_share_proxy_2008
51477,2014,individuel,11,1,,seat_cutoff_model
51477,2020,individuel,11,1,,seat_cutoff_rne_real
51478,2008,individuel,11,0,21.978,winner_share_proxy_2008
51478,2014,individuel,20,0,26.6376,seat_cutoff_model
51478,2020,individuel,22,0,16.0622,seat_cutoff_rne_real
51479,2008,individuel,11,0,11.9205,winner_share_proxy_2008
51479,2014,individuel,15,0,1.1834,seat_cutoff_model
51479,2020,individuel,13,0,1.7544,seat_cutoff_rne_real
51480,2008,individuel,1,1,,winner_share_proxy_2008
51480,2014,individuel,11,1,,seat_cutoff_model
51480,2020,individuel,11,1,,seat_cutoff_rne_real
51482,2008,individuel,1,1,,winner_share_proxy_2008
51482,2014,individuel,15,1,,seat_cutoff_model
51482,2020,individuel,15,1,,seat_cutoff_rne_real
51483,2008,individuel,11,0,5.6872,winner_share_proxy_2008
51483,2014,individuel,11,1,,seat_cutoff_model
51483,2020,individuel,15,1,,seat_cutoff_rne_real
51484,2008,individuel,11,0,18.0451,winner_share_proxy_2008
51484,2014,individuel,11,1,,seat_cutoff_model
51484,2020,individuel,11,1,,seat_cutoff_rne_real
51485,2008,individuel,11,0,11.1842,winner_share_proxy_2008
51485,2014,individuel,16,0,0.5348,seat_cutoff_model
51485,2020,individuel,11,1,,seat_cutoff_rne_real
51486,2008,individuel,5,0,47.093,winner_share_proxy_2008
51486,2014,individuel,4,1,,seat_cutoff_model
51486,2020,individuel,5,1,,seat_cutoff_rne_real
51487,2008,individuel,11,0,19.375,winner_share_proxy_2008
51487,2014,individuel,12,0,37.1257,seat_cutoff_model
51487,2020,individuel,15,0,0.7194,seat_cutoff_rne_real
51488,2008,individuel,11,0,21.5569,winner_share_proxy_2008
51488,2014,individuel,11,1,,seat_cutoff_model
51488,2020,individuel,11,1,,seat_cutoff_rne_real
51489,2008,individuel,9,0,11.4286,winner_share_proxy_2008
51489,2014,individuel,1,1,,seat_cutoff_model
51489,2020,individuel,9,0,16.0,seat_cutoff_rne_real
51490,2008,individuel,11,0,8.9109,winner_share_proxy_2008
51490,2014,individuel,11,1,,seat_cutoff_model
51490,2020,individuel,14,0,2.7523,seat_cutoff_rne_real
51491,2008,individuel,1,1,,winner_share_proxy_2008
51491,2014,individuel,2,1,,seat_cutoff_model
51491,2020,individuel,7,1,,seat_cutoff_rne_real
51493,2008,individuel,9,0,12.9032,winner_share_proxy_2008
51493,2014,individuel,7,1,,seat_cutoff_model
51493,2020,individuel,11,1,,seat_cutoff_rne_real
51495,2008,individuel,5,0,34.0426,winner_share_proxy_2008
51495,2014,individuel,1,1,,seat_cutoff_model
51495,2020,individuel,6,1,,seat_cutoff_rne_real
51496,2008,individuel,11,0,15.6028,winner_share_proxy_2008
51496,2014,individuel,12,0,74.7967,seat_cutoff_model
51496,2020,individuel,13,0,53.2258,seat_cutoff_rne_real
51497,2008,individuel,9,0,3.3333,winner_share_proxy_2008
51497,2014,individuel,9,0,20.0,seat_cutoff_model
51497,2020,individuel,8,0,3.7037,seat_cutoff_rne_real
51498,2008,individuel,9,0,10.8108,winner_share_proxy_2008
51498,2014,individuel,9,0,7.3171,seat_cutoff_model
51498,2020,individuel,6,1,,seat_cutoff_rne_real
51499,2008,individuel,11,0,22.3529,winner_share_proxy_2008
51499,2014,individuel,15,0,4.1667,seat_cutoff_model
51499,2020,individuel,11,1,,seat_cutoff_rne_real
51500,2008,individuel,1,1,,winner_share_proxy_2008
51500,2014,individuel,4,1,,seat_cutoff_model
51500,2020,individuel,14,0,5.1282,seat_cutoff_rne_real
51501,2008,individuel,1,1,,winner_share_proxy_2008
51501,2014,individuel,13,0,15.9091,seat_cutoff_model
51501,2020,individuel,3,1,,seat_cutoff_rne_real
51502,2008,individuel,9,0,27.8689,winner_share_proxy_2008
51502,2014,individuel,7,1,,seat_cutoff_model
51502,2020,individuel,13,0,1.8519,seat_cutoff_rne_real
51503,2008,individuel,9,0,2.0833,winner_share_proxy_2008
51503,2014,individuel,7,1,,seat_cutoff_model
51503,2020,individuel,7,1,,seat_cutoff_rne_real
51504,2008,individuel,2,0,41.4097,winner_share_proxy_2008
51504,2014,individuel,15,1,,seat_cutoff_model
51504,2020,individuel,15,1,,seat_cutoff_rne_real
51505,2008,individuel,15,0,24.186,winner_share_proxy_2008
51505,2014,individuel,11,1,,seat_cutoff_model
51505,2020,individuel,12,0,50.7576,seat_cutoff_rne_real
51507,2008,individuel,2,0,45.287,winner_share_proxy_2008
51508,2008,individuel,6,0,46.2585,winner_share_proxy_2008
51508,2014,individuel,2,1,,seat_cutoff_model
